,NFW_Amp,Scale_Rad,Sep_Dist
0,0.5 solMass,0.1 AU,0.060181113621812964 AU
1,0.5 solMass,0.2 AU,0.2810326496532638 AU
2,0.5 solMass,0.30000000000000004 AU,0.03119350075023441 AU
3,0.5 solMass,0.4 AU,0.13717796266061305 AU
4,0.5 solMass,0.5 AU,0.19906170366849985 AU
5,0.5 solMass,0.6 AU,0.24156505667372938 AU
6,0.5 solMass,0.7000000000000001 AU,0.2731376430117304 AU
7,0.5 solMass,0.8 AU,0.19420851603173775 AU
8,0.5 solMass,0.9 AU,0.11453836665031762 AU
9,0.5 solMass,1.0 AU,0.062289990177241863 AU
10,0.5 solMass,1.1 AU,0.02461923570004545 AU
11,0.5 solMass,1.2000000000000002 AU,0.004195606279599393 AU
12,0.5 solMass,1.3000000000000003 AU,0.027132169487040093 AU
13,0.5 solMass,1.4000000000000001 AU,0.045916726212664793 AU
14,0.5 solMass,1.5000000000000002 AU,0.053284775219501916 AU
15,0.5 solMass,1.6 AU,0.06882974364152111 AU
16,0.5 solMass,1.7000000000000002 AU,0.08651942722411184 AU
17,0.5 solMass,1.8000000000000003 AU,0.09655719231122019 AU
18,0.5 solMass,1.9000000000000001 AU,0.10538271195467219 AU
19,0.5 solMass,2.0 AU,0.11320257020320391 AU
20,0.5 solMass,2.1 AU,0.12017773536204542 AU
21,0.5 solMass,2.2 AU,0.12643583050088064 AU
22,0.5 solMass,2.3000000000000003 AU,0.13207956043145666 AU
23,0.5 solMass,2.4000000000000004 AU,0.13719265181407597 AU
24,0.5 solMass,2.5000000000000004 AU,0.1418441361415786 AU
25,0.5 solMass,2.6 AU,0.14609149971594154 AU
26,0.5 solMass,2.7 AU,0.14998304120137312 AU
27,0.5 solMass,2.8000000000000003 AU,0.15355966370365987 AU
28,0.5 solMass,2.9000000000000004 AU,0.15685625602658804 AU
29,0.5 solMass,3.0000000000000004 AU,0.15990277062372985 AU
30,0.5 solMass,3.1 AU,0.16272507435594952 AU
